Name,Email,Number,Most Bought,Most Searched,Churning,Review of Product
Noah,noah0@yahoo.com,+16385186344,Phone,Gaming laptop,No,"Average quality, expected better."
David,david1@hotmail.com,+19833202719,Shoes,Wireless headphones,Yes,Best purchase ever!
David,david2@gmail.com,+14565080226,Shoes,Wireless headphones,Yes,Great value for money!
Liam,liam3@outlook.com,+12253112575,Shoes,Running shoes,Yes,"Average quality, expected better."
Alice,alice4@hotmail.com,+16660557208,Watch,Smartwatch,Yes,Not worth the price.
Noah,noah5@gmail.com,+15151182458,Bag,Best phone,Yes,"Excellent product, highly recommend!"
Emma,emma6@yahoo.com,+16236855973,Watch,Running shoes,Yes,"Excellent product, highly recommend!"
David,david7@hotmail.com,+11706315759,Shoes,Best phone,Yes,Best purchase ever!
Charlie,charlie8@hotmail.com,+12373921333,Phone,Smartwatch,Yes,"Defective piece, had to return."
Sophia,sophia9@gmail.com,+11465887816,Watch,Running shoes,No,Not worth the price.
Noah,noah10@yahoo.com,+17101729746,Bag,Gaming laptop,No,"Excellent product, highly recommend!"
Emma,emma11@gmail.com,+12509327617,Headphones,Running shoes,No,"Defective piece, had to return."
Alice,alice12@gmail.com,+17542362693,Phone,Running shoes,Yes,Great value for money!
Charlie,charlie13@hotmail.com,+13561266335,Headphones,Running shoes,Yes,Great value for money!
Charlie,charlie14@yahoo.com,+12507446581,Phone,Gaming laptop,Yes,"Works perfectly, will buy again."
Sophia,sophia15@hotmail.com,+17288181576,Phone,Wireless headphones,No,"Average quality, expected better."
Bob,bob16@hotmail.com,+17450243898,Headphones,Gaming laptop,No,"Average quality, expected better."
Charlie,charlie17@yahoo.com,+19110182051,Laptop,Gaming laptop,Yes,"Good quality, but delivery was slow."
Alice,alice18@yahoo.com,+16607601676,Shoes,Smartwatch,No,"Average quality, expected better."
Charlie,charlie19@hotmail.com,+12703786121,Watch,Gaming laptop,Yes,"Defective piece, had to return."
Emma,emma20@outlook.com,+15046460962,Phone,Smartwatch,No,"Works perfectly, will buy again."
David,david21@gmail.com,+12658388853,Watch,Gaming laptop,Yes,"Works perfectly, will buy again."
Liam,liam22@outlook.com,+18584376865,Laptop,Smartwatch,Yes,"Excellent product, highly recommend!"
Emma,emma23@gmail.com,+14837750259,Phone,Wireless headphones,No,Not worth the price.
Bob,bob24@hotmail.com,+13793190240,Phone,Smartwatch,No,Not worth the price.
David,david25@outlook.com,+16154877877,Bag,Best phone,No,"Good quality, but delivery was slow."
Liam,liam26@gmail.com,+15448837146,Shoes,Gaming laptop,Yes,"Excellent product, highly recommend!"
Sophia,sophia27@outlook.com,+14846614099,Laptop,Wireless headphones,No,Best purchase ever!
Noah,noah28@outlook.com,+11775509130,Laptop,Running shoes,No,"Works perfectly, will buy again."
Noah,noah29@outlook.com,+12679782391,Bag,Gaming laptop,No,Best purchase ever!
Charlie,charlie30@outlook.com,+18927776440,Headphones,Smartwatch,No,Not worth the price.
Charlie,charlie31@yahoo.com,+19019956510,Bag,Running shoes,Yes,"Excellent product, highly recommend!"
Charlie,charlie32@outlook.com,+16671000116,Headphones,Wireless headphones,No,Not worth the price.
Sophia,sophia33@hotmail.com,+18861435136,Phone,Best phone,No,Best purchase ever!
Noah,noah34@gmail.com,+16541709118,Phone,Gaming laptop,No,"Excellent product, highly recommend!"
Alice,alice35@outlook.com,+12238648169,Headphones,Running shoes,No,Not worth the price.
Sophia,sophia36@yahoo.com,+19939380008,Watch,Gaming laptop,No,"Average quality, expected better."
Emma,emma37@yahoo.com,+19733528039,Bag,Running shoes,No,Not worth the price.
