Name,Phone Number,Category,Product,Customer Review (Score),Detailed Review (Product),Email,State,Address,Customer Review (Site),Most Bought,Most Searched,Churning Score
Kabir Ganesan,04879963137,Electronics,Smartphone,4.9,Average product. Expected better quality.,balianahita@hotmail.com,Uttar Pradesh,"59, Bal Zila, Ajmer-569510",4.8,Tablet,Headphones,71
Tushar Vasa,05117289356,Books,Fiction,4.3,Average product. Expected better quality.,borapranay@butala.com,Meghalaya,"55/589
Ahluwalia
Bhiwandi-308946",2.5,Non-fiction,Non-fiction,18
Drishya Grover,05183161312,Books,Comics,2.4,Loved it! Exactly what I was looking for.,hazelverma@thakur.biz,Odisha,"590, Verma Chowk, Bulandshahr-644902",3.2,Non-fiction,Non-fiction,22
Ishita Shan,03280256387,Books,Non-fiction,2.2,"The product is decent, but delivery took too long.",charvivasa@gmail.com,Himachal Pradesh,"429
Suresh Circle, Serampore-650534",3.6,Fiction,Non-fiction,64
Sara Shan,9.15151E+11,Sports,Cricket Bat,2,Average product. Expected better quality.,romil07@yahoo.com,Manipur,"354
Tak Ganj
Khandwa 078972",3.1,Yoga Mat,Badminton Racket,28
Lakshay Borah,9899127078,Clothing,Shoes,3.9,Not as described. Disappointed with the quality.,miraya59@subramanian.com,Punjab,"01/156
Golla Marg
Kalyan-Dombivli 949881",3.6,Saree,Jeans,87
Arhaan Sur,06365508566,Beauty,Face Cream,3.5,Amazing features at this price! Highly recommended.,dbala@gera.org,Assam,"62/220
Bajwa Street, Siwan-578534",2.9,Face Cream,Foundation,12
Baiju Doctor,04885963148,Electronics,Laptop,3,Superb performance! Exceeded my expectations.,vritika21@yahoo.com,Andhra Pradesh,"63/595
Vyas Nagar
Berhampur 085694",4.4,Smartphone,Laptop,40
Samiha Wali,07055923543,Electronics,Headphones,1.1,Not as described. Disappointed with the quality.,yakshit02@sridhar.com,Andhra Pradesh,"460
Chopra Path
Baranagar 970672",2.5,Smartwatch,Smartwatch,28
Nehmat Sunder,9681072886,Home Appliances,Microwave,1.8,"The product is decent, but delivery took too long.",bahladvik@hotmail.com,Assam,"005
Suri Circle
Patiala-734437",2.7,Microwave,Air Conditioner,24
